original_title,vote_average,genres,cast,id,director,keywords
Avatar,7.2,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['SamWorthington', 'SigourneyWeaver', 'StephenLang', 'ZoeSaldana']",19995,James Cameron,"['3d', 'alien', 'alienplanet', 'antiwar', 'battle', 'cgi', 'cultureclash', 'future', 'futuristic', 'loveaffair', 'marine', 'mindandsoul', 'powerrelations', 'romance', 'society', 'soldier', 'space', 'spacecolony', 'spacetravel', 'spacewar', 'tribe']"
Pirates of the Caribbean: At World's End,6.9,"['Action', 'Adventure', 'Fantasy']","['JohnnyDepp', 'KeiraKnightley', 'OrlandoBloom', 'StellanSkarsgård']",285,Gore Verbinski,"['aftercreditsstinger', 'afterlife', 'alliance', 'calypso', 'drugabuse', 'eastindiatradingcompany', 'exoticisland', 'fighter', 'loveofoneslife', 'ocean', 'pirate', 'ship', 'shipwreck', 'strongwoman', 'swashbuckler', 'traitor']"
Spectre,6.3,"['Action', 'Adventure', 'Crime']","['ChristophWaltz', 'DanielCraig', 'LéaSeydoux', 'RalphFiennes']",206647,Sam Mendes,"['basedonnovel', 'britishsecretservice', 'mi6', 'secretagent', 'sequel', 'spy', 'unitedkingdom']"
The Dark Knight Rises,7.6,"['Action', 'Crime', 'Drama', 'Thriller']","['AnneHathaway', 'ChristianBale', 'GaryOldman', 'MichaelCaine']",49026,Christopher Nolan,"['batman', 'burglar', 'catburglar', 'catwoman', 'cover-up', 'crimefighter', 'criminalunderworld', 'dccomics', 'destruction', 'flood', 'gothamcity', 'hostagedrama', 'imax', 'secretidentity', 'superhero', 'terrorism', 'terrorist', 'timebomb', 'tragichero', 'vigilante', 'villainess']"
John Carter,6.1,"['Action', 'Adventure', 'ScienceFiction']","['LynnCollins', 'SamanthaMorton', 'TaylorKitsch', 'WillemDafoe']",49529,Andrew Stanton,"['19thcentury', '3d', 'alien', 'alienrace', 'basedonnovel', 'edgarriceburroughs', 'escape', 'mars', 'marscivilization', 'martian', 'medallion', 'princess', 'spacetravel', 'steampunk', 'superhumanstrength', 'swordandplanet']"
Spider-Man 3,5.9,"['Action', 'Adventure', 'Fantasy']","['JamesFranco', 'KirstenDunst', 'ThomasHadenChurch', 'TobeyMaguire']",559,Sam Raimi,"['amnesia', 'deathofafriend', 'dualidentity', 'egomania', 'forgiveness', 'hostility', 'loveofoneslife', 'marvelcomic', 'narcism', 'revenge', 'sand', 'sandstorm', 'sequel', 'spider', 'superhero', 'wretch']"
Tangled,7.4,"['Animation', 'Family']","['DonnaMurphy', 'MandyMoore', 'RonPerlman', 'ZacharyLevi']",38757,Byron Howard,"['animalsidekick', 'animation', 'basedonfairytale', 'blondewoman', 'duringcreditsstinger', 'fairytale', 'healinggift', 'healingpower', 'horse', 'hostage', 'magic', 'musical', 'princess', 'selfishness', 'tower']"
Avengers: Age of Ultron,7.3,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'ChrisHemsworth', 'MarkRuffalo', 'RobertDowneyJr.']",99861,Joss Whedon,"['3d', 'basedoncomicbook', 'duringcreditsstinger', 'marvelcinematicuniverse', 'marvelcomic', 'sequel', 'superhero', 'superheroteam', 'vision']"
Harry Potter and the Half-Blood Prince,7.4,"['Adventure', 'Family', 'Fantasy']","['DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'TomFelton']",767,David Yates,"['apparition', 'broom', 'magic', 'schoolofwitchcraft', 'teenagecrush', 'werewolf', 'witch', 'wizardry']"
Batman v Superman: Dawn of Justice,5.7,"['Action', 'Adventure', 'Fantasy']","['AmyAdams', 'BenAffleck', 'GalGadot', 'HenryCavill']",209112,Zack Snyder,"['basedoncomicbook', 'brucewayne', 'clarkkent', 'dccomics', 'dcextendeduniverse', 'revenge', 'superhero', 'superpowers', 'vigilante']"
Superman Returns,5.4,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['BrandonRouth', 'JamesMarsden', 'KateBosworth', 'KevinSpacey']",1452,Bryan Singer,"['basedoncomicbook', 'dccomics', 'invulnerability', 'kryptonite', 'lexluthor', 'savingtheworld', 'sequel', 'superhero', 'superhumanstrength', 'superpowers']"
Quantum of Solace,6.1,"['Action', 'Adventure', 'Crime', 'Thriller']","['DanielCraig', 'JudiDench', 'MathieuAmalric', 'OlgaKurylenko']",10764,Marc Forster,"['britishsecretservice', 'killing', 'secretagent', 'undercover']"
Pirates of the Caribbean: Dead Man's Chest,7.0,"['Action', 'Adventure', 'Fantasy']","['JohnnyDepp', 'KeiraKnightley', 'OrlandoBloom', 'StellanSkarsgård']",58,Gore Verbinski,"['aftercreditsstinger', 'bondage', 'captain', 'cardgame', 'compass', 'daughter', 'eastindiatradingcompany', 'exoticisland', 'fortuneteller', 'monster', 'pirate', 'ship', 'swashbuckler', 'witch']"
The Lone Ranger,5.9,"['Action', 'Adventure', 'Western']","['ArmieHammer', 'HelenaBonhamCarter', 'JohnnyDepp', 'WilliamFichtner']",57201,Gore Verbinski,"['comanche', 'escape', 'horse', 'lawyer', 'loneranger', 'outlaw', 'partner', 'survivor', 'texas', 'texasranger', 'theloneranger', 'tonto', 'train']"
Man of Steel,6.5,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['AmyAdams', 'HenryCavill', 'KevinCostner', 'MichaelShannon']",49521,Zack Snyder,"['alieninvasion', 'basedoncomicbook', 'dccomics', 'dcextendeduniverse', 'reboot', 'savingtheworld', 'superhero', 'superhuman', 'superpowers']"
The Chronicles of Narnia: Prince Caspian,6.3,"['Adventure', 'Family', 'Fantasy']","['AnnaPopplewell', 'BenBarnes', 'SkandarKeynes', 'WilliamMoseley']",2454,Andrew Adamson,"['basedonnovel', 'brothersisterrelationship', 'faith', 'fantasyworld', 'fictionalplace', 'humanbeing', 'leapintime', 'lion', 'matteroflifeanddeath', 'narnia', 'uncle', 'wretch']"
The Avengers,7.4,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'ChrisHemsworth', 'MarkRuffalo', 'RobertDowneyJr.']",24428,Joss Whedon,"['aftercreditsstinger', 'alieninvasion', 'basedoncomicbook', 'duringcreditsstinger', 'marvelcinematicuniverse', 'marvelcomic', 'newyork', 'shield', 'superhero', 'superheroteam']"
Pirates of the Caribbean: On Stranger Tides,6.4,"['Action', 'Adventure', 'Fantasy']","['IanMcShane', 'JohnnyDepp', 'KevinMcNally', 'PenélopeCruz']",1865,Rob Marshall,"['3d', 'aftercreditsstinger', 'battle', 'captain', 'duke', 'mermaid', 'mutiny', 'pirate', 'primeminister', 'sailing', 'sea', 'ship', 'silver', 'soldier', 'swashbuckler', 'sword']"
Men in Black 3,6.2,"['Action', 'Comedy', 'ScienceFiction']","['JoshBrolin', 'MichaelStuhlbarg', 'TommyLeeJones', 'WillSmith']",41154,Barry Sonnenfeld,"['alien', 'changinghistory', 'fictionalgovernmentagency', 'seeingthefuture', 'timemachine', 'timetravel']"
The Hobbit: The Battle of the Five Armies,7.1,"['Action', 'Adventure', 'Fantasy']","['IanMcKellen', 'KenStott', 'MartinFreeman', 'RichardArmitage']",122917,Peter Jackson,"['battle', 'corruption', 'dragon', 'dwarves', 'elves', 'epicbattle', 'hobbit', 'middle-earth(tolkien)', 'orcs', 'swordandsorcery', 'unlikelyfriendship']"
The Amazing Spider-Man,6.5,"['Action', 'Adventure', 'Fantasy']","['AndrewGarfield', 'DenisLeary', 'EmmaStone', 'RhysIfans']",1930,Marc Webb,"['duringcreditsstinger', 'geneticengineering', 'lossoffather', 'marvelcomic', 'maskedvigilante', 'reboot', 'scientificexperiment', 'serum', 'socialoutcast', 'spiderbite', 'superpowers', 'vigilante']"
Robin Hood,6.2,"['Action', 'Adventure']","['CateBlanchett', 'MaxvonSydow', 'RussellCrowe', 'WilliamHurt']",20662,Ridley Scott,"['archer', 'bowandarrow', 'kingofengland', 'knight', 'medieval', 'middleages', 'robinhood', 'sherwoodforest']"
The Hobbit: The Desolation of Smaug,7.6,"['Adventure', 'Fantasy']","['IanMcKellen', 'KenStott', 'MartinFreeman', 'RichardArmitage']",57158,Peter Jackson,"['dragon', 'dwarves', 'elves', 'hobbit', 'orcs', 'swordandsorcery', 'wizard']"
The Golden Compass,5.8,"['Adventure', 'Fantasy']","['DakotaBlueRichards', 'DanielCraig', 'NicoleKidman', 'SamElliott']",2268,Chris Weitz,"['animal', 'basedonyoungadultnovel', 'compass', 'england', 'experiment', 'lordship', 'orphan', 'polarbear', 'uncle']"
King Kong,6.6,"['Action', 'Adventure', 'Drama']","['AdrienBrody', 'JackBlack', 'NaomiWatts', 'ThomasKretschmann']",254,Peter Jackson,"['dinosaur', 'exoticisland', 'filmbusiness', 'filmmaking', 'filmproducer', 'indigenous', 'monster', 'screenplay', 'ship', 'showbusiness']"
Titanic,7.5,"['Drama', 'Romance', 'Thriller']","['BillyZane', 'FrancesFisher', 'KateWinslet', 'LeonardoDiCaprio']",597,James Cameron,"['1910s', '3d', 'classdifferences', 'disaster', 'epic', 'iceberg', 'imax', 'love', 'oceanliner', 'panic', 'richsnob', 'richwoman-poorman', 'salvage', 'ship', 'shipwreck', 'starcrossedlovers', 'steerage', 'titanic', 'tragiclove']"
Captain America: Civil War,7.1,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson', 'SebastianStan']",271110,Anthony Russo,"['3d', 'aftercreditsstinger', 'basedoncomicbook', 'civilwar', 'duringcreditsstinger', 'imax', 'marvelcinematicuniverse', 'marvelcomic', 'sequel', 'superhero', 'war']"
Battleship,5.5,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['AlexanderSkarsgård', 'BrooklynDecker', 'Rihanna', 'TaylorKitsch']",44833,Peter Berg,"['aftercreditsstinger', 'armada', 'basedonboardgame', 'battleship', 'buoy', 'communicationsexpert', 'crashlanding', 'fictionalwar', 'fight', 'hongkong', 'jdsmyoko', 'jetfighterpilot', 'jointchiefsofstaff', 'lostcommunication', 'mightymo', 'mindreading', 'naval', 'navalcombat', 'navylieutenant', 'permissiontomarry', 'scientist', 'soccer', 'taser', 'u.s.navy', 'ussjohnpauljones', 'ussmissouri']"
Jurassic World,6.5,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['BryceDallasHoward', 'ChrisPratt', 'IrrfanKhan', 'VincentDOnofrio']",135397,Colin Trevorrow,"['3d', 'amusementpark', 'animalattack', 'animalhorror', 'dinosaur', 'disaster', 'dna', 'escape', 'island', 'jurassicpark', 'monster', 'sequel', 'suspense', 'themepark', 'tyrannosaurusrex', 'velociraptor']"
